hour,dam_lmp,rtm_lmp,load_mw,wind_mw,solar_mw,date,note
21,55.00,50.20,57500,17000,0,2023-08-16,
22,38.00,34.80,51800,17800,0,2023-08-16,
23,28.50,25.80,46500,18200,0,2023-08-16,
0,24.00,21.50,43000,17500,0,2023-08-17,Thu — heat wave peak
1,21.50,19.00,41500,18200,0,2023-08-17,
2,20.00,17.80,40200,19000,0,2023-08-17,
3,19.00,17.00,39800,19500,0,2023-08-17,
4,20.50,19.20,40500,19000,0,2023-08-17,
5,26.50,25.00,42500,16800,250,2023-08-17,
6,36.00,34.50,46000,14000,3500,2023-08-17,
7,50.00,55.00,50000,11500,7200,2023-08-17,
8,58.50,63.00,55000,10000,12500,2023-08-17,
9,54.00,50.50,58000,8800,17000,2023-08-17,
10,47.00,43.00,59500,8000,19800,2023-08-17,
11,42.50,39.80,60200,7500,21000,2023-08-17,
12,40.50,38.00,60500,7200,21200,2023-08-17,
13,46.00,50.50,61000,7800,20500,2023-08-17,
14,65.00,78.00,63500,8500,18500,2023-08-17,
15,105.00,155.00,67000,9800,15000,2023-08-17,
16,220.00,580.00,70500,10500,10500,2023-08-17,extreme heat
17,450.00,4500.00,72500,11500,5800,2023-08-17,MAJOR SPIKE — 72 GW load
18,380.00,3200.00,71000,12800,2200,2023-08-17,EEA Level 1 declared
19,180.00,350.00,68000,14500,400,2023-08-17,
20,95.00,88.00,63500,16000,0,2023-08-17,
21,60.00,55.50,58000,16800,0,2023-08-17,
22,40.00,36.50,52500,17500,0,2023-08-17,
23,30.00,27.00,47000,18000,0,2023-08-17,
0,22.00,19.00,41800,18800,0,2023-08-18,Fri — heat breaks
1,19.80,17.00,40200,19500,0,2023-08-18,
2,18.50,16.00,39000,20000,0,2023-08-18,
3,17.80,15.50,38500,20500,0,2023-08-18,
4,19.00,17.80,39200,20000,0,2023-08-18,
5,24.00,22.50,41000,18000,200,2023-08-18,
6,31.50,30.00,44200,15500,2800,2023-08-18,
7,43.50,46.00,47500,13000,6500,2023-08-18,
8,50.00,52.50,51800,11200,11000,2023-08-18,
9,46.50,42.80,54000,10000,15500,2023-08-18,
10,40.50,37.00,55500,9200,18200,2023-08-18,
11,37.00,34.50,56200,8500,19500,2023-08-18,
12,35.20,32.80,56500,8200,20000,2023-08-18,
13,38.80,41.50,57000,8800,19200,2023-08-18,
14,52.00,58.50,59000,9500,17200,2023-08-18,
15,72.00,85.00,61500,10500,13500,2023-08-18,
16,110.00,160.00,64500,11200,9200,2023-08-18,
17,180.00,310.00,66500,12000,4800,2023-08-18,
18,160.00,245.00,65000,13500,1500,2023-08-18,
19,82.00,100.00,62000,15000,200,2023-08-18,
20,55.00,51.50,58000,16500,0,2023-08-18,
21,40.00,37.50,53500,17200,0,2023-08-18,
22,30.00,27.50,48500,18000,0,2023-08-18,
23,23.50,21.50,44000,18500,0,2023-08-18,
0,18.50,15.50,38000,20000,0,2023-08-19,Sat — weekend drop
1,16.00,13.50,36500,20500,0,2023-08-19,
2,14.50,12.00,35000,21000,0,2023-08-19,
3,13.80,11.50,34500,21500,0,2023-08-19,
4,14.50,12.80,35000,21000,0,2023-08-19,
5,18.00,16.20,36500,19500,150,2023-08-19,
6,24.00,22.50,39000,17000,2500,2023-08-19,
7,32.00,34.00,42000,14500,5800,2023-08-19,
8,38.00,40.50,45000,12500,10000,2023-08-19,
9,35.00,32.50,47000,11000,14000,2023-08-19,
10,30.50,27.80,48500,10000,17000,2023-08-19,
11,28.00,25.50,49000,9500,18500,2023-08-19,
12,26.50,24.20,49200,9200,19000,2023-08-19,
13,29.50,31.00,49500,9800,18200,2023-08-19,
14,38.00,42.00,51000,10500,16500,2023-08-19,
15,52.00,60.00,53000,11200,13000,2023-08-19,
16,78.00,95.00,55000,12000,8500,2023-08-19,
17,120.00,180.00,56500,12800,4500,2023-08-19,
18,100.00,150.00,55500,14000,1200,2023-08-19,
19,58.00,65.00,52000,15500,100,2023-08-19,
20,38.00,35.00,48000,17000,0,2023-08-19,
21,28.00,25.50,44000,17800,0,2023-08-19,
22,22.00,19.50,40000,18500,0,2023-08-19,
23,18.00,15.80,37000,19000,0,2023-08-19,
0,16.50,13.80,36500,20500,0,2023-08-20,Sun — weekly low
1,14.00,11.80,35000,21000,0,2023-08-20,
2,12.50,10.50,34000,21500,0,2023-08-20,
3,11.80,10.00,33500,22000,0,2023-08-20,
4,12.50,11.00,34000,21500,0,2023-08-20,
5,16.00,14.50,35500,20000,100,2023-08-20,
6,22.00,20.50,37500,17500,2200,2023-08-20,
7,28.00,30.00,40000,15000,5500,2023-08-20,
8,34.00,36.50,43000,13000,9500,2023-08-20,
9,31.00,28.50,45000,11500,13500,2023-08-20,
10,27.00,24.50,46500,10500,16500,2023-08-20,
11,25.00,22.80,47000,10000,18000,2023-08-20,
12,23.50,21.50,47200,9800,18500,2023-08-20,
13,26.00,28.00,47500,10200,17800,2023-08-20,
14,34.00,38.00,49000,11000,16000,2023-08-20,
15,48.00,55.00,51000,11800,12500,2023-08-20,
16,70.00,85.00,53000,12500,8000,2023-08-20,
17,105.00,155.00,54500,13200,4200,2023-08-20,
18,88.00,130.00,53500,14500,1000,2023-08-20,
19,52.00,58.00,50000,16000,80,2023-08-20,
20,35.00,32.00,46000,17500,0,2023-08-20,
21,25.00,22.50,42000,18200,0,2023-08-20,
22,20.00,17.50,38500,19000,0,2023-08-20,
23,16.00,14.00,35500,19500,0,2023-08-20,
